name,business,phone,email,web_status,priority,location,contacted
there,Main Street Grille,(440) 776-9004,,no website,1,Oberlin,
there,Catrinas Oberlin,(440) 775-0050,,no website,1,Oberlin,
there,Ying's Asian Cuisine,(440) 774-9393,,no website,1,Oberlin,
there,Knight Jack Cleaners,(440) 774-6592,,no website,1,Oberlin,
there,Main Street Antiques,TBD,,facebook only,1,Oberlin,
there,Watson Hardware,TBD,,no website,1,Oberlin,
there,S & S Auto Repair,TBD,,no website,1,Oberlin,
there,Johnson's Automotive,TBD,,no website,1,Oberlin,
there,Gary's Body Shop,TBD,,no website,1,Oberlin,
there,D and D Automotive,TBD,,no website,1,Oberlin,
there,PC Automotive,TBD,,no website,1,Oberlin,
there,Lorenzo's Pizzeria,TBD,,no website,1,Oberlin,
there,Uptown Clothing & More,TBD,,no website,1,Oberlin,
there,All Things Great,TBD,,no website,1,Oberlin,
there,Oberlin Tobacco and Vape,TBD,,no website,1,Oberlin,
there,Anything Green Lawn Care,TBD,,facebook only,1,Oberlin,
there,Brickyard Bar & Grill,(440) 775-0020,,outdated website,2,Oberlin,
there,Oberlin IGA Foodliner,(440) 774-1002,,outdated website,2,Oberlin,
there,Mutt & Jeff's,(440) 282-4080,,no website,3,Lorain,
there,Diso's Bistro,(440) 282-1195,,no website,3,Lorain,
there,Scorcher's Casual Eatery,(440) 244-0556,,no website,3,Lorain,
there,Speak of the Devil,(440) 434-4286,,facebook only,3,Lorain,
there,Nancy's Main Street Diner,TBD,,no website,3,Lorain,
there,Wolfey's Bistro & Pub,TBD,,no website,4,Elyria,
there,Black River Tavern,TBD,,no website,4,Elyria,
